종목코드,종목명,종가,대비,등락률,상장시가총액
26960,동서,27500,250,0.92,2741750
11170,롯데케미칼,61700,-1800,-2.83,2639243
489790,한화비전,51000,-2300,-4.32,2574908
111770,영원무역,57700,-1000,-1.7,2556772
192820,코스맥스,210500,-6000,-2.77,2389072
383220,F&F,65200,-1300,-1.95,2497621
462870,시프트업,40800,-850,-2.04,2398294
4370,농심,428000,18000,4.39,2603371
81660,미스토홀딩스,40450,-1300,-3.11,2430877
18880,한온시스템,3560,-15,-0.42,2416395
1450,현대해상,27800,-100,-0.36,2485320
1720,신영증권,150100,1100,0.74,2467644
42670,HD현대인프라코어,13550,-490,-3.49,2558934
483650,달바글로벌,175350,-3350,-1.87,2154423
139130,iM금융지주,13750,40,0.29,2228252
361610,SK아이이테크놀로지,27000,-750,-2.7,2208252
30000,제일기획,19730,-70,-0.35,2269763
2790,아모레퍼시픽홀딩스,27200,0,0,2161262
66970,엘앤에프,63900,-2100,-3.18,2320604
12510,더존비즈온,77600,-2000,-2.51,2357704
18670,SK가스,249000,-8500,-3.3,2302066
240,한국앤컴퍼니,23750,-650,-2.66,2254712
51600,한전KPS,49800,-500,-0.99,2241000
139480,이마트,71500,0,0,1973101
282330,BGF리테일,115000,-2300,-1.96,1987649
34230,파라다이스,20700,-300,-1.43,1908017
20560,아시아나항공,9420,-60,-0.63,1940432
3690,코리안리,10890,50,0.46,2121601
120,CJ대한통운,82700,-800,-0.96,1886581
990,DB하이텍,44400,-1550,-3.37,1971297
3570,SNT다이내믹스,63500,1000,1.6,2111546
28670,팬오션,3880,-15,-0.39,2074130
484870,엠앤씨솔루션,192800,13600,7.59,1764872
23530,롯데쇼핑,66500,400,0.61,1881202
161890,한국콜마,75800,-2000,-2.57,1789265
204320,HL만도,35550,-150,-0.42,1669326
336260,두산퓨얼셀,26350,-2250,-7.87,1725760
69960,현대백화점,72600,-1700,-2.29,1642852
77970,STX엔진,43650,350,0.81,1752463
97230,HJ중공업,20900,2020,10.7,1740432
103590,일진전기,35575,-675,-1.86,1696408
6040,동원산업,42550,-1100,-2.52,1878497
8770,호텔신라,46250,-650,-1.39,1815226
9970,영원무역홀딩스,133100,1100,0.83,1796748
14680,한솔케미칼,160500,-16800,-9.48,1819299
17960,한국카본,32100,-800,-2.43,1666261
112610,씨에스윈드,41350,-400,-0.96,1743788
267270,HD현대건설기계,85200,-2200,-2.52,1478869
4800,효성,86700,-100,-0.12,1451393
47040,대우건설,3645,-75,-2.02,1514945
69620,대웅제약,135100,-900,-0.66,1565346
73240,금호타이어,4945,-15,-0.3,1420502
5850,에스엘,33900,-100,-0.29,1574605
6280,녹십자,128100,-1600,-1.23,1497046
6360,GS건설,18420,-250,-1.34,1576411
7310,오뚜기,393000,9500,2.48,1575077
7340,DN오토모티브,26000,-600,-2.26,1521282
9420,한올바이오파마,29150,-700,-2.35,1522815
10060,OCI홀딩스,86400,-1100,-1.26,1625609
11210,현대위아,51000,700,1.39,1386949
23590,다우기술,33600,-550,-1.61,1507518
395400,SK리츠,5010,55,1.11,1457253
3090,대웅,23900,-800,-3.24,1389593
3540,대신증권,27350,-550,-1.97,1388652
4170,신세계,163900,-1400,-0.85,1580845
375500,DL이앤씨,41600,-750,-1.77,1609655
137310,에스디바이오센서,9910,-110,-1.1,1206534
229640,LS에코에너지,38200,-1400,-3.54,1169870
294870,HDC현대산업개발,19400,-470,-2.37,1278602
300720,한일시멘트,19000,-340,-1.76,1315969
353200,대덕전자,23600,-450,-1.87,1166239
457190,이수스페셜티케미컬,43400,-1250,-2.8,1311039
32350,롯데관광개발,15980,10,0.06,1271041
82640,동양생명,7370,-80,-1.07,1189213
85620,미래에셋생명,7300,210,2.96,1292218
100090,SK오션플랜트,19880,-970,-4.65,1196385
100840,SNT에너지,59000,-2400,-3.91,1220166
7070,GS리테일,16440,230,1.42,1374506
9450,경동나비엔,78500,1000,1.29,1143634
12630,HDC,21250,-250,-1.16,1269512
20150,롯데에너지머티리얼즈,24650,-1300,-5.01,1290809
80,하이트진로,19150,50,0.26,1343059
1120,LX인터내셔널,29500,-200,-0.67,1143420
1800,오리온홀딩스,20750,0,0,1299893
3530,한화투자증권,5380,-160,-2.89,1154267
5070,코스모신소재,41700,-1150,-2.68,1355699
5440,현대지에프홀딩스,7480,-230,-2.98,1166164
499790,GS피앤엘,48200,-700,-1.43,955847
5300,롯데칠성,119800,200,0.17,1111610
120110,코오롱인더,36350,-400,-1.09,1000319
185750,종근당,79100,-800,-1,1091800
192080,더블유게임즈,52100,-600,-1.14,1119937
192400,쿠쿠홀딩스,31650,350,1.12,1125543
280360,롯데웰푸드,115000,-1200,-1.03,1070026
285130,SK케미칼,58000,-1500,-2.52,1000719
298020,효성티앤씨,215500,-3500,-1.6,932615
30190,NICE평가정보,15710,-50,-0.32,934849
30610,교보증권,8660,-40,-0.46,986919
36530,SNT홀딩스,64400,-600,-0.92,1049970
64960,SNT모티브,36400,-800,-2.15,966066
71320,지역난방공사,82300,5400,7.02,952931
75580,세진중공업,15770,570,3.75,896516
89860,롯데렌탈,28400,-400,-1.39,1031187
6120,SK디스커버리,52600,-300,-0.57,965097
9240,한샘,41950,-250,-0.59,987248
415640,KB발해인프라,8750,-150,-1.69,1072274
330590,롯데리츠,3860,40,1.05,1115420
365550,ESR켄달스퀘어리츠,4450,65,1.48,1095096
500,가온전선,59000,-1100,-1.83,976044
1430,세아베스틸지주,27250,-650,-2.33,977243
1740,SK네트웍스,4310,-75,-1.71,953708
3240,태광산업,847000,-20000,-2.31,943050
4000,롯데정밀화학,41400,-300,-0.72,1068120
114090,GKL,16480,-240,-1.44,1019381
475150,SK이터닉스,20300,-150,-0.73,685207
5250,녹십자홀딩스,14780,-360,-2.38,695077
181710,NHN,24950,-1050,-4.04,842465
214320,이노션,18500,140,0.76,740000
248070,솔루엠,16580,-90,-0.54,792793
249420,일동제약,24350,-1100,-4.32,755173
268280,미원에스씨,141100,-2300,-1.6,705500
281820,케이씨텍,31150,-2300,-6.88,644504
298050,HS효성첨단소재,188700,-1400,-0.74,845366
381970,케이카,15850,-50,-0.31,773810
39130,하나투어,51100,-400,-0.78,791536
57050,현대홈쇼핑,56200,600,1.08,674400
69260,TKG휴켐스,17380,-220,-1.25,710470
79160,CJ CGV,4610,-25,-0.54,763329
79900,전진건설로봇,48100,-1300,-2.63,701901
90460,비에이치,18280,-200,-1.08,630009
5690,파미셀,10500,-640,-5.75,630178
6650,대한유화,117700,-4300,-3.52,765050
7700,F&F홀딩스,19150,-110,-0.57,749040
8730,율촌화학,29350,-750,-2.49,727880
14820,동원시스템즈,28400,-250,-0.87,823352
19170,신풍제약,12110,-200,-1.62,641648
25540,한국단자,62100,-900,-1.43,628142
293940,신한알파리츠,5570,20,0.36,673636
451800,한화리츠,3890,-5,-0.13,698644
70,삼양홀딩스,85800,-200,-0.23,760903
210,DL,38100,-900,-2.31,798419
370,한화손해보험,5650,-40,-0.7,659575
640,동아쏘시오홀딩스,108600,-2600,-2.34,709857
670,영풍,37650,-250,-0.66,719433
1270,부국증권,70900,5400,8.24,735225
1530,DI동일,40050,-1100,-2.67,790158
1570,금양,9900,0,0,633275
1680,대상,22600,0,0,783045
2030,아세아,347000,-3000,-0.86,723197
2840,미원상사,146600,-200,-0.14,696350
3030,세아제강지주,177400,-6900,-3.74,734730
3470,유안타증권,3385,-65,-1.88,675634
3620,KG모빌리티,3350,20,0.6,677956
3850,보령,8190,-160,-1.92,702597
4490,세방전지,61600,-700,-1.12,862400
5180,빙그레,71000,400,0.57,678455
108320,LX세미콘,52600,-1200,-2.23,855502
348950,제이알글로벌리츠,2750,40,1.48,542784
357120,코람코라이프인프라리츠,4270,-10,-0.23,415622
432320,KB스타리츠,3850,-50,-1.28,390445
448730,삼성FN리츠,4275,-35,-0.81,389239
320,노루홀딩스,35100,1300,3.85,466519
400,롯데손해보험,1603,-14,-0.87,497469
1060,JW중외제약,21500,50,0.23,500647
1500,현대차증권,7760,-100,-1.27,479824
2020,코오롱,44450,450,1.02,561245
2240,고려제강,17600,-220,-1.23,475200
2350,넥센타이어,5780,-80,-1.37,564520
2710,TCC스틸,16390,-630,-3.7,429642
2960,한국쉘석유,431500,-500,-0.12,560950
3280,흥아해운,1634,-5,-0.31,392854
3300,한일홀딩스,17860,10,0.06,550675
3960,사조대림,41600,0,0,381242
4690,삼천리,128000,600,0.47,519043
4700,조광피혁,69000,1100,1.62,458791
5390,신성통상,4045,0,0,581300
5420,코스모화학,15910,-290,-1.79,611075
5610,SPC삼립,53500,-200,-0.37,461652
5810,풍산홀딩스,40400,350,0.87,582459
5880,대한해운,1698,-16,-0.93,548025
6220,제주은행,13980,-230,-1.62,528424
6380,카프로,3660,0,0,618540
9410,태영건설,1747,-53,-2.94,514435
9900,명신산업,8630,-240,-2.71,452817
10780,아이에스동서,19400,-200,-1.02,585627
14830,유니드,74100,-1900,-2.5,501479
15360,INVENI,63700,2000,3.24,382200
16380,KG스틸,5250,-80,-1.5,525047
16590,신대양제지,10450,100,0.97,421112
16800,퍼시스,43750,-300,-0.68,503125
17810,풀무원,14050,80,0.57,535594
17940,E1,75700,800,1.07,519302
18250,애경산업,15920,-250,-1.55,420446
24720,콜마홀딩스,13200,-690,-4.97,452711
26890,스틱인베스트먼트,10020,-140,-1.38,417615
27410,BGF,3950,-35,-0.88,378081
29530,신도리코,43650,-150,-0.34,439993
33240,자화전자,18340,-1530,-7.7,399017
34120,SBS,20450,-1000,-4.66,379373
34310,NICE,13260,-380,-2.79,492323
37270,YG PLUS,8945,175,2,569005
58650,세아홀딩스,128600,0,0,514400
72710,농심홀딩스,81250,1550,1.94,376820
78520,에이블씨엔씨,14500,780,5.69,377205
89590,제주항공,6430,-160,-2.43,518522
91810,티웨이항공,1825,-17,-0.92,393067
93050,LF,18300,-640,-3.38,535092
93370,후성,5760,-250,-4.16,617791
97520,엠씨넥스,28750,-1250,-4.17,516860
130660,한전산업,12040,-410,-3.29,392504
145720,덴티움,55500,-2000,-3.48,614320
145990,삼양사,48750,-200,-0.41,502781
161000,애경케미칼,10450,-100,-0.95,508379
170900,동아에스티,43000,-1300,-2.93,402164
178920,PI첨단소재,16550,-440,-2.59,486013
183190,아세아시멘트,13310,-420,-3.06,497086
192650,드림텍,6270,-100,-1.57,431941
241590,화승엔터프라이즈,6710,-30,-0.45,406554
271940,일진하이솔루스,17170,-820,-4.56,623497
272450,진에어,8380,-130,-1.53,437436
284740,쿠쿠홈시스,26850,-200,-0.74,602442
322000,HD현대에너지솔루션,42550,-650,-1.5,476560
336370,솔루스첨단소재,7240,-210,-2.82,508374
344820,KCC글라스,29400,-300,-1.01,469533
377740,바이오노트,5530,-160,-2.81,564370
383800,LX홀딩스,7780,-110,-1.39,593464
